gym,year,totals,classtype,count,ward
Ward 16,1915,49721,men,10045,16
Ward 16,1916,48606,men,7751,16
Ward 17,1916,14216,men,1262,17
Ward 17,1917,56818,men,7726,17
Ward 17,1918,48114,men,7865,17
Ward 17,1919,19190,men,2151,17
Ward 17,1920,29861,men,5183,17
Ward 17,1921,35771,men,5810,17
Ward 17,1922,42634,men,6685,17
Ward 17,1923,39102,men,6215,17
Ward 17,1924,33717,men,5280,17
Ward 3,1914,17712,men,2160,3
Ward 3,1915,17712,men,2160,3
Ward 3,1916,16976,men,1689,3
Ward 4,1917,18643,men,2037,4
Ward 4,1918,14879,men,1517,4
Ward 4,1919,5593,men,441,4
Ward 4,1920,9047,men,925,4
Ward 4,1921,8036,men,654,4
Ward 4,1922,12860,men,1016,4
Ward 4,1923,11687,men,1339,4
Ward 4,1924,11702,men,2463,4
Ward 5,1917,19026,men,2395,5
Ward 5,1918,13257,men,2213,5
Ward 5,1919,9865,men,1086,5
Ward 5,1920,10413,men,1101,5
Ward 5,1921,2247,men,351,5
Ward 5,1922,14232,men,2400,5
Ward 5,1923,13740,men,2104,5
Ward 5,1924,14140,men,2292,5
Ward 6,1923,8282,men,1267,6
Ward 6,1924,3167,men,426,6
Ward 7,1914,15425,men,2758,7
Ward 7,1915,13042,men,2175,7
Ward 7,1916,4015,men,515,7
Ward 9,1914,10812,men,2065,9
Ward 9,1915,14725,men,2210,9
Ward 9,1916,18992,men,2571,9
Cabot Street Gymnasium,1914,38005,schoolboys,9562,18
Cabot Street Gymnasium,1915,29567,schoolboys,7416,18
Cabot Street Gymnasium,1916,24618,schoolboys,5965,18
Cabot Street Gymnasium,1917,37082,schoolboys,9749,18
Cabot Street Gymnasium,1918,33193,schoolboys,12646,18
Cabot Street Gymnasium,1919,10500,schoolboys,3875,18
Cabot Street Gymnasium,1920,12053,schoolboys,4040,18
Cabot Street Gymnasium,1921,10615,schoolboys,2834,18
Cabot Street Gymnasium,1922,25442,schoolboys,6972,18
Cabot Street Gymnasium,1923,21073,schoolboys,4717,18
Cabot Street Gymnasium,1924,22754,schoolboys,5345,18
Cabot Street Gymnasium,1925,10465,schoolboys,2670,18
Curtis Hall Gymnasium,1914,43240,schoolboys,8255,22
Curtis Hall Gymnasium,1915,33415,schoolboys,7355,22
Curtis Hall Gymnasium,1916,29265,schoolboys,5605,22
Curtis Hall Gymnasium,1917,31240,schoolboys,7055,22
Curtis Hall Gymnasium,1918,19833,schoolboys,4133,22
Curtis Hall Gymnasium,1919,7228,schoolboys,1981,22
Curtis Hall Gymnasium,1920,9312,schoolboys,2958,22
Curtis Hall Gymnasium,1921,17848,schoolboys,3727,22
Curtis Hall Gymnasium,1922,7770,schoolboys,3180,22
Curtis Hall Gymnasium,1923,15623,schoolboys,4072,22
Curtis Hall Gymnasium,1924,16102,schoolboys,4507,22
Curtis Hall Gymnasium,1925,16830,schoolboys,3352,22
D Street Gymnasium,1914,18359,schoolboys,5125,13
D Street Gymnasium,1915,21740,schoolboys,4813,13
D Street Gymnasium,1916,24228,schoolboys,8839,13
D Street Gymnasium,1917,25159,schoolboys,9702,13
D Street Gymnasium,1918,22956,schoolboys,6626,13
D Street Gymnasium,1919,5821,schoolboys,975,13
D Street Gymnasium,1920,0,schoolboys,0,13
D Street Gymnasium,1921,25818,schoolboys,9836,13
D Street Gymnasium,1922,17697,schoolboys,3588,13
East Boston Gymnasium,1914,33227,schoolboys,7500,2
East Boston Gymnasium,1915,32184,schoolboys,7077,2
East Boston Gymnasium,1916,27781,schoolboys,7688,2
East Boston Gymnasium,1917,21709,schoolboys,7027,2
East Boston Gymnasium,1918,19837,schoolboys,7955,2
East Boston Gymnasium,1920,8348,schoolboys,447,2
East Boston Gymnasium,1921,20185,schoolboys,4867,2
East Boston Gymnasium,1922,23296,schoolboys,4379,2
East Boston Gymnasium,1923,24539,schoolboys,5848,2
East Boston Gymnasium,1924,10361,schoolboys,2769,2
North Bennet Street,1914,26513,schoolboys,9639,6
North Bennet Street,1915,19566,schoolboys,7310,6
North Bennet Street,1916,18888,schoolboys,7645,6
North Bennet Street,1917,19855,schoolboys,7735,6
North Bennet Street,1918,13337,schoolboys,6298,6
North Bennet Street,1920,5410,schoolboys,265,6
North Bennet Street,1921,23150,schoolboys,6995,6
North Bennet Street,1922,31040,schoolboys,8890,6
North Bennet Street,1923,29383,schoolboys,8135,6
North Bennet Street,1924,25438,schoolboys,7350,6
North Bennet Street,1925,5370,schoolboys,1515,6
Roslindale Gymnasium,1919,4340,schoolboys,1443,24
Roslindale Gymnasium,1920,13536,schoolboys,1667,24
Roslindale Gymnasium,1921,24313,schoolboys,9494,24
Roslindale Gymnasium,1922,25055,schoolboys,9886,24
Roslindale Gymnasium,1923,24835,schoolboys,9219,24
Roslindale Gymnasium,1924,22364,schoolboys,8172,24
Roslindale Gymnasium,1925,12783,schoolboys,3408,24
Ward 6,1917,12576,schoolboys,5844,6
Ward 6,1918,7222,schoolboys,3188,6
Ward 6,1919,3065,schoolboys,1105,6
Ward 6,1921,1134,schoolboys,231,6
Ward 6,1922,5107,schoolboys,1466,6
Ward 12,1917,31817,schoolboys,8887,12
Ward 12,1918,28404,schoolboys,8524,12
