"year","ward","agegrp","count"
1920,18,"(50,60]",33
1920,18,"(60,70]",10
1920,18,"(70,80]",7
1920,18,NA,4
1920,18,"(80,90]",1
1920,19,"(20,30]",61
1920,19,"(10,20]",36
1920,19,"(0,10]",33
1920,19,"(30,40]",32
1920,19,"(40,50]",22
1920,19,"(50,60]",20
1920,19,"(60,70]",16
1920,19,NA,6
1920,19,"(70,80]",5
1920,20,"(0,10]",68
1920,20,"(10,20]",62
1920,20,"(20,30]",56
1920,20,"(30,40]",53
1920,20,"(40,50]",34
1920,20,"(50,60]",22
1920,20,"(60,70]",15
1920,20,NA,6
1920,20,"(70,80]",5
1920,21,"(0,10]",63
1920,21,"(20,30]",54
1920,21,"(30,40]",37
1920,21,"(10,20]",32
1920,21,"(40,50]",22
1920,21,"(50,60]",20
1920,21,"(60,70]",12
1920,21,"(80,90]",3
1920,21,"(70,80]",2
1920,21,NA,1
1920,22,"(10,20]",59
1920,22,"(0,10]",54
1920,22,"(40,50]",53
1920,22,"(20,30]",44
1920,22,"(30,40]",39
1920,22,"(50,60]",26
1920,22,"(60,70]",9
1920,22,NA,5
1920,22,"(70,80]",4
1920,22,"(80,90]",1
1920,23,"(0,10]",48
1920,23,"(10,20]",44
1920,23,"(40,50]",42
1920,23,"(30,40]",41
1920,23,"(20,30]",33
1920,23,"(50,60]",22
1920,23,"(60,70]",19
1920,23,"(70,80]",6
1920,23,NA,3
1920,23,"(80,90]",1
1920,24,"(0,10]",56
1920,24,"(10,20]",34
1920,24,"(30,40]",33
1920,24,"(20,30]",32
1920,24,"(40,50]",30
1920,24,"(50,60]",11
1920,24,NA,5
1920,24,"(60,70]",3
1920,24,"(90,100]",2
1920,24,"(70,80]",1
1920,25,"(30,40]",58
1920,25,"(20,30]",53
1920,25,"(40,50]",50
1920,25,"(0,10]",43
1920,25,"(10,20]",39
1920,25,"(50,60]",26
1920,25,"(60,70]",15
1920,25,"(70,80]",5
1920,25,NA,4
1920,26,"(20,30]",43
1920,26,"(0,10]",29
1920,26,"(30,40]",28
1920,26,"(10,20]",25
1920,26,"(50,60]",14
1920,26,"(40,50]",13
1920,26,NA,8
1920,26,"(60,70]",3
1920,26,"(70,80]",2
